datetime,title,tag,url
2023-11-17 21:42:32.694,"Trudeau says Israel hurting peace prospects in Gaza, decries Canadians ‘lashing out’",canada,https://www.theglobeandmail.com/canada/article-trudeau-says-israel-hurting-peace-prospects-in-gaza-decries-canadians/
2023-11-17 19:36:57.805,String of incidents in Ottawa linked to antisemitism alarms local Jewish community,canada,https://www.theglobeandmail.com/canada/article-string-of-ottawa-events-linked-to-antisemitism-alarms-local-jewish/
2023-11-17 19:15:37.000,Gulf Arab state Bahrain calls for Hamas-Israel ‘hostage trade’,world,https://www.theglobeandmail.com/world/article-gulf-arab-state-bahrain-calls-for-hamas-israel-hostage-trade/
2023-11-17 16:56:56.757,"Columbia, Cornell and other colleges face U.S. inquiries over alleged antisemitism and Islamophobia",world,https://www.theglobeandmail.com/world/article-columbia-cornell-and-other-colleges-face-us-inquiries-over-alleged/
2023-11-17 13:00:00.000,China wants to shape the world alongside the United States. So what does it want in the Middle East?,opinion,https://www.theglobeandmail.com/opinion/article-china-wants-to-shape-the-world-alongside-the-united-states-so-what/
2023-11-17 12:04:51.514,"As the battle for Gaza rages, families of people taken hostage wait with trepidation",world,https://www.theglobeandmail.com/world/article-as-the-battle-for-gaza-rages-families-of-people-taken-hostage-wait/
2023-11-17 10:24:22.974,Israel renews call for Gazans to flee key southern city,world,https://www.theglobeandmail.com/world/article-israel-hamas-war-gaza-november-17/
2023-11-16 22:05:19.989,"Hold Israel to fighting within the rules, but blame Hamas for the war, and its casualties",opinion,https://www.theglobeandmail.com/opinion/article-hold-israel-to-fighting-within-the-rules-but-blame-hamas-for-the-war/
2023-11-16 20:36:27.847,Israel’s raid on al-Shifa Hospital is a litmus test,opinion,https://www.theglobeandmail.com/opinion/article-israels-raid-on-al-shifa-hospital-is-a-litmus-test/
2023-11-16 18:21:17.283,Israeli forces kill three Palestinian gunmen who killed soldier,world,https://www.theglobeandmail.com/world/article-israeli-forces-kill-three-palestinian-gunmen-who-killed-soldier/
2023-11-16 17:49:39.515,California authorities arrest college professor in connection with death of Jewish demonstrator ,world,https://www.theglobeandmail.com/world/article-california-authorities-arrest-man-in-death-of-jewish-demonstrator/
2023-11-16 16:41:23.525,France calls West Bank Israeli settler violence ‘policy of terror’,world,https://www.theglobeandmail.com/world/article-france-calls-west-bank-israeli-settler-violence-policy-of-terror/
2023-11-16 15:30:00.000,The international order has failed the Palestinians ,opinion,https://www.theglobeandmail.com/opinion/article-the-international-order-has-failed-the-palestinians/
2023-11-16 10:29:48.877,"Internet, phone networks collapse in Gaza, threatening to worsen humanitarian crisis; Israel displays tunnel entrances inside compound ",world,https://www.theglobeandmail.com/world/article-israel-hamas-gaza-war-al-shifa-hospital-3/
2023-11-16 01:50:27.533,Pro-Palestinian protest against Trudeau outside Vancouver cocktail bar required 100 officers; demonstrator stunned with a Taser,canada,https://www.theglobeandmail.com/canada/article-protest-against-trudeau-outside-vancouver-cocktail-bar-required-100/
2023-11-15 22:21:07.345,‘It was like hell’: Canadian family returned from Gaza recount 30 nights of Israeli air strikes,canada,https://www.theglobeandmail.com/canada/article-canadians-return-gaza-strip/
2023-11-15 10:50:52.022,Israeli troops deepen search at main Gaza hospital for evidence of Hamas ,world,https://www.theglobeandmail.com/world/article-israel-hamas-gaza-shifa-hospital/
2023-11-15 10:00:00.000,Qatar’s behind-the-scenes role in the Israel-Hamas war ,the decibel: a daily news podcast from the globe and mail,https://www.theglobeandmail.com/podcasts/the-decibel/article-qatars-behind-the-scenes-role-in-the-israel-hamas-war/
2023-11-14 19:03:48.598,Several charged after Scotiabank Giller Prize gala interrupted during televised bash,canada,https://www.theglobeandmail.com/canada/article-several-charged-after-scotiabank-giller-prize-gala-interrupted-during/
2023-11-14 17:33:06.785,Police investigating after 16 Montreal metro stations covered overnight with pro-Palestinian posters,canada,https://www.theglobeandmail.com/canada/article-police-investigating-after-16-montreal-subway-stations-covered/
2023-11-14 13:41:11.245,Hundreds of U.S. officials sign letter protesting Biden’s support of Israel in Gaza war,u.s. politics,https://www.theglobeandmail.com/world/us-politics/article-hundreds-of-us-officials-sign-letter-protesting-bidens-support-of/
2023-11-14 10:23:35.417,"Israel raids Gaza’s Al Shifa Hospital, urges Hamas to surrender",world,https://www.theglobeandmail.com/world/article-israel-hamas-gaza-war-al-shifa-hospital-2/
2023-11-14 02:23:18.803,"Officials identify body of Canadian peace activist Vivian Silver, killed in Oct. 7 Hamas attack",canada,https://www.theglobeandmail.com/canada/article-canadian-peace-activist-vivian-silver-confirmed-dead-in-israel/
2023-11-13 20:43:15.991,"Netanyahu’s tough approach to Gaza may wipe out Hamas, but at what cost?",opinion,https://www.theglobeandmail.com/opinion/article-netanyahus-tough-approach-to-gaza-may-wipe-out-hamas-but-at-what-cost/
2023-11-13 20:17:44.912,Israeli hostage families urge women’s groups to speak up,world,https://www.theglobeandmail.com/world/article-israeli-hostage-families-urge-womens-groups-to-speak-up/
2023-11-13 11:57:49.959,"Ten more people with ties to Canada have managed to leave Gaza, Global Affairs says",canada,https://www.theglobeandmail.com/canada/article-hundreds-of-canadians-cross-at-rafah-on-sunday-but-none-appear-on-list/
2023-11-13 10:30:53.123,"Medics and patients, including babies, stranded as battles rage around Gaza hospitals ",world,https://www.theglobeandmail.com/world/article-israel-hamas-gaza-war-al-shifa-hospital/
2023-11-13 04:36:42.000,"U.S. conducts airstrikes against Iran-backed groups in Syria, retaliating for attacks on American troops",world,https://www.theglobeandmail.com/world/article-us-conducts-airstrikes-against-iran-backed-groups-in-syria-retaliating/
2023-11-13 02:09:16.138,Largest group of Canadians yet flees Gaza while others hope for their turn,canada,https://www.theglobeandmail.com/canada/article-largest-group-of-canadians-yet-flees-gaza-while-others-hope-for-their/
2023-11-13 01:53:19.239,Military training efforts for Ukraine hit major milestones even as attention shifts to Gaza,world,https://www.theglobeandmail.com/world/article-military-training-efforts-for-ukraine-hit-major-milestones-even-as/
2023-11-13 00:48:32.887,‘From the river to the sea’ chant sparks free-speech debate after Calgary protester charged ,canada,https://www.theglobeandmail.com/canada/article-from-the-river-to-sea-chant-sparks-free-speech-debate-after-calgary/
2023-11-12 21:48:57.324,"Protesters demonstrate against world leaders, Israel-Hamas war as APEC comes to San Francisco",world,https://www.theglobeandmail.com/world/article-protesters-demonstrate-against-world-leaders-israel-hamas-war-as-apec/
2023-11-12 20:47:21.783,"More than 180,000 people across France march against soaring antisemitism amid the Israel-Hamas war",world,https://www.theglobeandmail.com/world/article-more-than-180000-people-across-france-march-against-soaring/
2023-11-12 18:22:25.893,Protesters demonstrate across Canada as Israel-Hamas war rages,canada,https://www.theglobeandmail.com/canada/article-protesters-set-to-demonstrate-across-canada-as-israel-hamas-war-rages/
2023-11-11 19:54:54.550,Rafah land crossing to reopen for foreigners Sunday: Gaza border authority,world,https://www.theglobeandmail.com/world/article-rafah-land-crossing-to-reopen-for-foreigners-sunday-gaza-border/
2023-11-11 19:15:09.625,Thousands peacefully march in London in support of Palestinians as right-wing protesters clash with police,world,https://www.theglobeandmail.com/world/article-london-protest-palestinians-remembrance-day/
2023-11-11 17:09:49.507,Hezbollah says it is introducing new weapons in ongoing battles with Israeli troops,world,https://www.theglobeandmail.com/world/article-hezbollah-says-it-is-introducing-new-weapons-in-ongoing-battles-with/
2023-11-11 16:01:47.336,Arab and Muslim leaders call for immediate end to Israel’s war in Gaza,world,https://www.theglobeandmail.com/world/article-arab-and-muslim-leaders-call-for-immediate-end-to-israels-war-in-gaza/
2023-11-11 02:28:38.678,Antisemitism a growing concern after spike in hate-related incidents,canada,https://www.theglobeandmail.com/canada/article-antisemitism-a-growing-concern-after-spike-in-hate-related-incidents/
2023-11-11 00:51:20.707,Biden’s support for Israel may affect his re-election prospects,world,https://www.theglobeandmail.com/world/article-bidens-support-for-israel-may-affect-his-re-election-prospects/
2023-11-11 00:38:09.257,"As Gaza death toll rises, Israel faces pressure to protect Palestinian civilians",world,https://www.theglobeandmail.com/world/article-as-gaza-death-toll-rises-israel-faces-pressure-to-protect-palestinian/
2023-11-10 23:29:07.204,Thousands who were sheltering at Gaza City’s hospitals flee as Israel-Hamas war closes in,world,https://www.theglobeandmail.com/world/article-thousands-who-were-sheltering-at-gaza-citys-hospitals-flee-as-israel/
2023-11-10 22:28:36.803,"A child killed on average every 10 minutes in Gaza, says WHO chief",world,https://www.theglobeandmail.com/world/article-a-child-killed-on-average-every-10-minutes-in-gaza-says-who-chief/
2023-11-10 21:56:19.546,France’s Macron urges Israel to stop bombing Gaza ,world,https://www.theglobeandmail.com/world/article-frances-macron-urges-israel-to-stop-bombing-gaza/
2023-11-10 21:13:56.729,Université de Montréal suspends lecturer filmed at Israel-Hamas protest,canada,https://www.theglobeandmail.com/canada/article-universite-de-montreal-suspends-lecturer-filmed-at-israel-hamas/
2023-11-10 19:02:35.928,Dubai to stage high-profile airshow next week amid rising tensions over Israel-Hamas war,international business,https://www.theglobeandmail.com/business/international-business/article-dubai-to-stage-high-profile-airshow-next-week-amid-rising-tensions/
2023-11-10 17:00:14.590,"Israel, Hamas and the futility of evil",opinion,https://www.theglobeandmail.com/opinion/article-israel-hamas-and-the-futility-of-evil/
2023-11-10 17:00:00.000,Why do people hate Israel?,opinion,https://www.theglobeandmail.com/opinion/article-why-do-people-hate-israel/
2023-11-10 16:06:33.318,Three pro-Palestinian protesters deny committing terrorism offences at London rally,world,https://www.theglobeandmail.com/world/article-three-pro-palestinian-protesters-deny-committing-terrorism-offences-at/
2023-11-10 16:01:01.740,Palestinian human rights groups ask war crimes court to probe Israel over genocide allegations,world,https://www.theglobeandmail.com/world/article-palestinian-human-rights-groups-ask-war-crimes-court-to-probe-israel/
2023-11-10 14:07:26.362,Blinken says ‘far too many’ Palestinians have died as Israel wages relentless war on Hamas,world,https://www.theglobeandmail.com/world/article-blinken-says-far-too-many-palestinians-have-died-as-israel-wages/
2023-11-10 12:30:17.309,Damage to Gaza War Cemetery shows challenge of caring for monuments in conflict zones ,canada,https://www.theglobeandmail.com/canada/article-damage-to-gaza-war-cemetery-shows-challenge-of-caring-for-monuments-in/
2023-11-10 11:57:39.142,Morning Update: Jewish communities shaken by spike in hate incidents since onset of Israel-Hamas war,canada,https://www.theglobeandmail.com/canada/article-morning-update-jewish-communities-shaken-by-spike-in-hate-incidents/
2023-11-10 10:20:04.552,"Gaza officials say Israeli strikes at hospitals, school kill 27 amid U.S. unease at death toll ",world,https://www.theglobeandmail.com/world/article-israeli-strikes-hit-near-several-hospitals-as-military-pushes-deeper/
2023-11-10 10:06:48.207,No Canadians approved to leave Gaza on Friday were able to exit,world,https://www.theglobeandmail.com/canada/article-israel-hamas-gaza-canadians-evacuation/
2023-11-10 03:37:30.595,Jewish communities in Canada shaken by spike in hate incidents since onset of Israel-Hamas war ,canada,https://www.theglobeandmail.com/canada/article-jewish-communities-in-canada-shaken-by-spike-in-hate-incidents-since/
2023-11-10 03:01:54.099,"California authorities seek video, urge patience in investigation into death of Jewish demonstrator",world,https://www.theglobeandmail.com/world/article-california-authorities-seek-video-urge-patience-in-investigation-into/
2023-11-10 02:50:32.827,New UN report paints a picture of the devastation of the collapsing Palestinian economy,world,https://www.theglobeandmail.com/world/article-new-un-report-paints-a-picture-of-the-devastation-of-the-collapsing/
2023-11-09 16:39:15.242,"Joly says Palestinians cannot be forced out of Gaza Strip, as 32 more Canadians leave",canada,https://www.theglobeandmail.com/canada/article-canadians-other-foreign-nationals-still-waiting-for-gaza-strip-egypt/
