,date,title,category,victim,responsible,url,sentence
30,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"An Israeli military official says the death toll from Hamas’s surprise attack over the weekend has now risen above 1,000."
31,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Palestinian,Neither,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"The girl was named as Shahid Abu Rokbah, and rescuers said her family fled from east of the Khan Younis district to inside the city in search of safety, only to be killed."
32,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Neither,Neither,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"Lebanon was already on edge after six fighters were killed along the border on Monday – three Hezbollah members, an Israeli officer, and two Palestinian militants who touched off the violence by infiltrating Israel from Lebanon."
33,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Palestinian,Israel,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"They targeted them and killed them,” said volunteer Mohammad al Najjar."
34,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Palestinian,Israel,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,”They tried to escape death only to find it...
35,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Neither,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"Fourteen U.S. citizens have been killed in Hamas’s attack on Israel and others are currently being held hostage, President Joe Biden said Tuesday as he reiterated his government’s support for Israel and called on Congress to approve more military aid."
36,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Neither,Neither,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"A 22-year-old Vancouver man, Ben Mizrachi, was among those killed during an attack on the Supernova music festival in southern Israel on Saturday."
37,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Neither,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"Open this photo in gallery: A 22-year-old Vancouver man, Ben Mizrachi, was among those killed during a terrorist attack on the Supernova music festival in southern Israel on Saturday.Handout."
38,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"Mr. Hahn issued posts on social media platform “X” that Jewish groups say celebrate the massacre of hundreds of Israeli women, children and elderly people by terrorist group Hamas."
39,2023-10-10 14:55:21,Israel-Hamas war updates: Here’s what happened on Oct. 10,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-live-october-10/,"Officer: Israeli death toll from Hamas attack hits 1,000."
40,2023-10-10 21:49:38,The Globe’s team on the ground in the Middle East,world,Neither,Neither,https://www.theglobeandmail.com/world/article-globe-and-mail-correspondents-middle-east/,Blinken calls on Israel to minimize civilian deaths ahead of expected ground invasion of Gaza.
41,2023-10-10 21:49:38,The Globe’s team on the ground in the Middle East,world,Neither,Hamas,https://www.theglobeandmail.com/world/article-globe-and-mail-correspondents-middle-east/,Loved ones recount horrifying murder of Canadian who was shot by Hamas in front of children.
42,2023-10-10 21:49:38,The Globe’s team on the ground in the Middle East,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-globe-and-mail-correspondents-middle-east/,"In Israel, survivors of Hamas massacre grapple with new realities and traumatic memories."
43,2023-10-10 21:49:38,The Globe’s team on the ground in the Middle East,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-globe-and-mail-correspondents-middle-east/,"In Kibbutz Be’eri, where at least 120 residents were killed by Hamas, Israeli officers survey aftermath of attack."
44,2023-10-11 10:38:35,Israel-Hamas war updates: Here’s what happened on Oct. 11,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-october-11/,JERUSALEM — Israeli Prime Minister Benjamin Netanyahu said Wednesday that Hamas militants beheaded soldiers and raped women in their attack on Israel.
45,2023-10-11 10:38:35,Israel-Hamas war updates: Here’s what happened on Oct. 11,world,Israeli,Hamas,https://www.theglobeandmail.com/world/article-israel-hamas-war-october-11/,"The 15-member body met behind closed-doors on Sunday, a day after Hamas rampaged through Israeli towns and villages, killing 1,200 people and taking scores of hostages back to Gaza."
46,2023-10-11 10:38:35,Israel-Hamas war updates: Here’s what happened on Oct. 11,world,Neither,Neither,https://www.theglobeandmail.com/world/article-israel-hamas-war-october-11/,Ms. Touma said the strikes killed the U.N. staffers at their homes across the territory.
47,2023-10-11 10:38:35,Israel-Hamas war updates: Here’s what happened on Oct. 11,world,Neither,Israel,https://www.theglobeandmail.com/world/article-israel-hamas-war-october-11/,"The United Nations agency for Palestinian refugees told the AP on Wednesday that nine of its staffers have been killed in airstrikes since the the start of the Israeli bombardment on Gaza on Saturday, with several killed late Tuesday."
